airport_iata,airport_name,city_iata,utc_offset,timezone_id
ELP,El Paso,ELP,-07:00,America/Denver
ELQ,Gassim,ELQ,+03:00,Asia/Riyadh
ELR,Elelim,ELR,+09:00,Asia/Jayapura
ELS,East London,ELS,+02:00,Africa/Johannesburg
ELT,El-Tor,ELT,+02:00,Africa/Cairo
ELU,El Oued Guemar,ELU,+01:00,Africa/Algiers
ELV,Elfin Cove,ELV,-09:00,America/Anchorage
ELW,Ellamar Sea Plane Base,ELW,-09:00,America/Anchorage
ELX,El Tigre,ELX,-04:00,America/Caracas
ELY,Ely Yelland Field,ELY,-08:00,America/Los_Angeles
ELZ,Wellsville Municipal,ELZ,-05:00,America/New_York
EMA,East Midlands,NQT,+00:00,Europe/London
EMB,San Francisco Embarcadero Apt,SFO,-08:00,America/Los_Angeles
EMD,Emerald,EMD,+10:00,Australia/Brisbane
EME,Emden,EME,+01:00,Europe/Berlin
EMG,Empangeni,EMG,+02:00,Africa/Johannesburg
EMI,Emirau,EMI,+10:00,Pacific/Port_Moresby
EMJ,Guiyang Railway Station,KWE,+08:00,Asia/Shanghai
EMK,Emmonak,EMK,-09:00,America/Anchorage
EML,Emmen,EML,+01:00,Europe/Zurich
EMM,Kemmerer Municipal,EMM,-07:00,America/Denver
EMN,Nema,EMN,+00:00,Africa/Nouakchott
EMO,Emo,EMO,+10:00,Pacific/Port_Moresby
EMP,Emporia Municipal,EMP,-06:00,America/Chicago
EMR,El Mirador Heliport,EMR,-06:00,America/Guatemala
EMS,Embessa,EMS,+10:00,Pacific/Port_Moresby
EMT,El Monte San Gabriel Valley,EMT,-08:00,America/Los_Angeles
EMU,Murcia Bus Station,MJV,+01:00,Europe/Madrid
EMX,El Maiten,EMX,-03:00,America/Argentina/Buenos_Aires
EMY,El-Minya,EMY,+02:00,Africa/Cairo
ENA,Kenai,ENA,-09:00,America/Anchorage
ENB,Eneabba,ENB,+08:00,Australia/Perth
ENC,Metz/Nancy Nancy-Essey,ETZ,+01:00,Europe/Paris
END,Enid Vance Afb,WDG,-06:00,America/Chicago
ENE,Ende H.Hasan Aroeboesman,ENE,+08:00,Asia/Makassar
ENF,Enontekio,ENF,+02:00,Europe/Helsinki
ENH,Enshi Xujiaping,ENH,+08:00,Asia/Shanghai
ENI,El Nido,ENI,+08:00,Asia/Manila
ENJ,El Naranjo,ENJ,-06:00,America/Guatemala
ENK,Enniskillen St Angelo,ENK,+00:00,Europe/London
ENL,Centralia Municipal,ENL,-06:00,America/Chicago
ENN,Nenana Municipal,ENN,-09:00,America/Anchorage
ENO,Encarnacion R. Amin Ayub Gonzalez,ENO,-04:00,America/Asuncion
ENQ,Coronel Enrique Soto Cano,ENQ,-06:00,America/Tegucigalpa
ENS,Enschede Twenthe,ENS,+01:00,Europe/Amsterdam
ENT,Enewetak Island,ENT,+12:00,Pacific/Majuro
ENU,Enugu Akanu Ibiam Intl,ENU,+01:00,Africa/Lagos
ENV,Wendover,ENV,-07:00,America/Denver
ENW,Kenosha Regional,ENW,-06:00,America/Chicago
ENY,Yan'an Nanniwan,ENY,+08:00,Asia/Shanghai
