departure,dep_iata,dep_scheduled,dep_actual,terminal_gate,arrival,arr_iata,arr_scheduled,dep_actual,terminal_gate,carrier_code,carrier,flight,status
Amsterdam,AMS,08:35,08:31,,Hamburg,HAM,09:45,09:31,,EW,Eurowings,EW7181,Flight Landed
Amsterdam,AMS,08:40,08:44,,Frankfurt,FRA,09:45,09:49,1/Area A,LH,Lufthansa,LH987,Flight Landed
Amsterdam,AMS,08:55,09:39,,Munich,MUC,10:15,10:49,2/G81,CL,Lufthansa Cityline,CL2301,Flight Landed
Amsterdam,AMS,09:50,10:22,,Zurich,ZRH,11:15,11:44,,LX,SWISS,LX725,Flight Landed
Amsterdam,AMS,10:00,10:13,,Vienna,VIE,11:50,11:46,,OS,Austrian,OS372,Flight Landed
Amsterdam,AMS,10:40,11:22,,Frankfurt,FRA,11:45,12:33,1/Area A,OS,Austrian,OS989,Flight Landed
Amsterdam,AMS,11:00,11:19,,Munich,MUC,12:20,12:35,2/T02S,CL,Lufthansa Cityline,CL2303,Flight Landed
Frankfurt,FRA,06:45,06:48,1/A30,Amsterdam,AMS,08:00,08:00,,LH,Lufthansa,LH986,Flight Landed
Munich,MUC,06:40,06:47,2/G82,Amsterdam,AMS,08:15,08:33,,CL,Lufthansa Cityline,CL2300,Flight Landed
Zurich,ZRH,07:20,07:23,,Amsterdam,AMS,09:00,09:05,,LX,SWISS,LX724,Flight Landed
Vienna,VIE,07:15,07:23,3/F36,Amsterdam,AMS,09:10,09:15,,OS,Austrian,OS371,Flight Landed
Munich,MUC,08:45,08:51,2/G15,Amsterdam,AMS,10:20,10:24,,CL,Lufthansa Cityline,CL2302,Flight Landed
Luxembourg,LUX,08:20,08:19,,Frankfurt,FRA,09:10,09:01,1/Area A,CL,Lufthansa Cityline,CL391,Flight Landed
Luxembourg,LUX,09:20,09:17,,Munich,MUC,10:25,10:15,2/G82,CL,Lufthansa Cityline,CL2317,Flight Landed
Luxembourg,LUX,10:25,10:24,,Zurich,ZRH,11:30,11:19,,2L,Helvetic Airways,2L751,Flight Landed
Luxembourg,LUX,10:40,10:36,,Frankfurt,FRA,11:30,11:19,1/Area A,CL,Lufthansa Cityline,CL393,Flight Landed
Zurich,ZRH,07:35,07:40,,Luxembourg,LUX,08:35,08:37,,2L,Helvetic Airways,2L750,Flight Landed
Munich,MUC,07:40,07:35,2/G69,Luxembourg,LUX,08:45,08:40,,CL,Lufthansa Cityline,CL2316,Flight Landed
Budapest,BUD,08:05,08:09,2A/A03,Munich,MUC,09:20,09:23,2/K01,LH,Lufthansa,LH1675,Flight Landed
Budapest,BUD,08:35,08:29,,Stuttgart,STR,10:05,10:09,,EW,Eurowings,EW2781,Flight Landed
Budapest,BUD,09:20,09:11,,Dusseldorf,DUS,11:15,11:03,,EW,Eurowings,EW9785,Flight Landed
Budapest,BUD,09:40,09:55,2A/A02,Zurich,ZRH,11:20,11:32,,2L,Helvetic Airways,2L2251,Flight Landed
Budapest,BUD,11:15,11:53,2A/B41,Vienna,VIE,12:05,12:53,,OS,Austrian,OS714,Flight Landed
Stuttgart,STR,06:30,06:31,1/325,Budapest,BUD,08:00,07:45,,EW,Eurowings,EW2780,Flight Landed
Dusseldorf,DUS,06:50,06:50,,Budapest,BUD,08:40,08:38,,EW,Eurowings,EW9784,Flight Landed
Zurich,ZRH,07:15,07:21,,Budapest,BUD,08:50,08:50,,2L,Helvetic Airways,2L2250,Flight Landed
Vienna,VIE,09:50,10:36,3/F25,Budapest,BUD,10:35,11:16,,OS,Austrian,OS713,Flight Landed
Frankfurt,FRA,10:25,10:42,1/A05,Budapest,BUD,11:55,12:05,,LH,Lufthansa,LH1336,Flight Landed
Athens,ATH,09:20,09:27,,Zurich,ZRH,11:10,11:21,,LX,SWISS,LX1843,Flight Landed
Marseille,MRS,09:05,09:25,1A/023,Munich,MUC,10:40,10:49,2/T02S,EN,Air Dolomiti,EN2261,Flight Landed
Marseille,MRS,10:25,10:47,1A/035,Frankfurt,FRA,12:05,12:21,1/Area A,EW,Eurowings,EW1087,Flight Landed
Marseille,MRS,12:05,12:00,,Brussels,BRU,13:50,13:35,,SN,Brussels Airlines,SN3598,Flight Landed
Munich,MUC,06:50,07:11,2/G46,Marseille,MRS,08:30,08:54,,EN,Air Dolomiti,EN2260,Flight Landed
Brussels,BRU,09:35,09:35,,Marseille,MRS,11:15,11:07,,SN,Brussels Airlines,SN3597,Flight On Time
Barcelona (ES),BCN,09:10,09:18,1/B24,Munich,MUC,11:10,11:09,2/K16,LH,Lufthansa,LH1809,Flight Landed
Barcelona (ES),BCN,09:15,09:11,,Stuttgart,STR,11:25,11:05,,EW,Eurowings,EW2529,Flight Landed
Barcelona (ES),BCN,09:40,09:58,1/B44,Zurich,ZRH,11:30,11:40,,BT,Airbaltic,BT1953,Flight Landed
Barcelona (ES),BCN,09:45,09:48,,Dusseldorf,DUS,12:10,11:59,,BT,Airbaltic,BT9441,Flight Landed
